,pmid,Abstract
0,38452919,"دلیل و هدف: اختلالات گلومرولی سیر بالینی بسیار متغیری دارند و نشانگرهای زیستی که مکانیسم‌های مولکولی زیربنایی پیشرفت را منعکس می‌کنند مورد نیاز است. بر اساس کار قبلی ما که پلاسمینوژن را به عنوان یک علت مستقیم آسیب پودوسیت شناسایی کرده بودیم، این مطالعه را برای آزمایش ارتباط بین پلاسمین (وژن) ادرار (یعنی پلاسمین و پلاسمینوژن پیش ساز آن) و بیماری کلیوی مرحله نهایی (ESKD) طراحی کردیم.
طراحی مطالعه: مطالعه کوهورت چند مرکزی.
تنظیم و شرکت کنندگان: 1010 بیمار با بیماری گلومرولی اثبات شده با بیوپسی (گلومرولوسکلروزیس سگمنتال کانونی، نفروپاتی غشایی، و نفروپاتی ایمونوگلوبولین A) در گروه CureGN ثبت نام کردند.
پیش‌بینی‌کننده‌ها: پیش‌بینی‌کننده اصلی پلاسمین (وژن) ادرار در ابتدا بود. سطوح توسط یک روش ایمونواسی الکتروشیمیایی که به صورت de novo توسعه یافته اندازه گیری شد. برای تنظیم از ویژگی های بالینی و تحلیلی سنتی استفاده شد. نسبت پلاسمین (وژن) ادرار به پلاسمین (وژن) مورد انتظار به عنوان یک پیش بینی در یک مدل جداگانه ارزیابی شد.
نتایج: پیشرفت به ESKD.
رویکرد تحلیلی: از رگرسیون کاکس برای بررسی ارتباط بین پلاسمین (وژن) ادرار و زمان رسیدن به ESKD استفاده شد. نشانگرهای ادراری Log بودند
نتایج: ورود به سیستم تنظیم شده
محدودیت ها: تعیین تک پلاسمین (وژن) اجازه مطالعه تغییرات در طول زمان را نمی دهد. استفاده از گروهی از بیماران عمدتا سفیدپوست و محدودیت برای بیماران مبتلا به 3 اختلال گلومرولی اعتبار خارجی تحلیل ما را محدود می کند.
نتیجه‌گیری: پلاسمین (وژن) ادراری و نسبت پلاسمین (وژن) اندازه‌گیری شده / مورد انتظار به طور مستقل با ESKD در گروهی از بیماران مبتلا به بیماری گلومرولی مرتبط است. همراه با یافته های تجربی قبلی ما، پلاسمین (وژن) ادرار می تواند یک نشانگر زیستی مفید در تصمیم گیری پیش آگهی و هدفی برای توسعه درمان های جدید در بیماران مبتلا به پروتئینوری و بیماری گلومرولی باشد."
1,38448735,گیرنده های سیگنال مصنوعی، پاسخ های سلولی قابل برنامه ریزی را با ورودی های سفارشی جفت می کنند. با این حال، مهندسی یک گیرنده حسگر نیرو طراح برای سیم‌کشی مجدد انتقال مکانیکی تا حد زیادی ناشناخته باقی مانده است. در اینجا، ما گیرنده‌های مکانیکی مصنوعی (AMRs) مهندسی‌شده غیرژنتیکی را معرفی می‌کنیم که قادر به برنامه‌ریزی مجدد گیرنده‌های تیروزین کیناز (RTKs) هستند تا نشانه‌های نیروی تعریف‌شده توسط کاربر را حس کنند، و امکان انتقال مکانیکی طراحی‌شده جدید را فراهم می‌کنند. AMR یک کایمرا پروتئینی مدولار DNA است که شامل یک نانودستگاه DNA حسگر و انتقال دهنده است که روی RTKهای طبیعی از طریق لنگرهای آپتامر پیوند شده است. AMR نیروی کششی بین سلولی را از طریق یک سوئیچ مکانیکی DNA آلوستریک با تحمل نیروی حساس به پیکونیوتون قابل تنظیم حس می‌کند و یک مجموعه DNA دینامیکی تحریک‌شده با نیرو را برای دستکاری دیمریزاسیون RTK و فعال کردن سیگنال‌دهی درون سلولی فعال می‌کند. با تعویض لیگاندهای دریافت نیرو، فعال سازی c-Met با واسطه AMR را نشان می دهیم، یک RTK نماینده، در پاسخ به نیروهای کششی سلولی ناشی از پروتئین های چسبندگی سلولی (اینتگرین، E-cadherin) یا اندوسیتوز پروتئین غشایی (CI) -M6PR). علاوه بر این، AMR همچنین به برنامه ریزی مجدد FGFR1، RTK دیگر، اجازه می دهد تا عملکرد مکانیکی بیولوژیکی را سفارشی کند، به عنوان مثال، نگهداری سلول های بنیادی عصبی با واسطه چسبندگی.
2,38442440,استفاده از هوش مصنوعی (AI) در کشف دارو منجر به چندین داستان موفقیت در زمان های اخیر شده است. در حالی که روش‌های سنتی عمدتاً به غربالگری کتابخانه‌های شیمیایی بزرگ برای طراحی اولیه دارو متکی بودند، طراحی de novo می‌تواند به شناسایی مولکول‌های خاص هدف جدید با نمونه‌برداری از فضای شیمیایی بسیار بزرگ‌تر کمک کند. اگرچه این امر امکان یافتن مولکول‌های متنوع و جدید را از فضای شیمیایی که قبلاً کشف نشده بود افزایش داده است، اما این امر همچنین چالش بزرگی را برای شیمی‌دانان دارویی ایجاد کرده است تا حداقل برخی از مولکول‌های جدید طراحی‌شده جدید را برای تأیید آزمایشی سنتز کنند. برای پرداختن به این چالش، در این کار، ما یک روش جدید هوش مصنوعی مبتنی بر سنتز را پیشنهاد می‌کنیم که برای کشف فضای شیمیایی قابل سنتز استفاده می‌شود. این روش از یک چارچوب طراحی دارویی مبتنی بر ساختار استفاده می‌کند، که در آن ساختار پروتئین هدف و یک قطعه دانه خاص هدف از ساختارهای کریستالی می‌توانند ورودی‌های اولیه باشند. یک قطعه تصادفی از یک کتابخانه قطعه قابل خرید نیز می تواند ورودی باشد اگر یک قطعه خاص هدف در دسترس نباشد. سپس یک پیش‌بینی مسیر سنتز رو به جلو مبتنی بر الگو و تولید مولکول به صورت موازی با استفاده از روش جستجوی درخت مونت کارلو (MCTS) انجام می‌شود که در آن، قطعات بعدی برای رشد مولکول‌ها را می‌توان دوباره از یک کتابخانه قطعه قابل خرید به‌دست آورد. پاداش برای هر تکرار MCTS با استفاده از یک مدل تمایل دارو-هدف (DTA) بر اساس موقعیت اتصال واسطه‌های واکنش تولید شده در محل اتصال پروتئین هدف مورد نظر محاسبه می‌شود. با کمک روش پیشنهادی، اکنون می‌توان بر یکی از موانع اصلی ایجاد شده برای رویکردهای طراحی دارو مبتنی بر هوش مصنوعی از طریق توانایی این روش برای طراحی مولکول‌های قابل سنتز خاص هدف جدید غلبه کرد.
3,38438864,"اهداف: سویا به دلیل داشتن پروتئین و روغن بالا، یک محصول خوراکی و روغنی مهم در جهان است. چین مجموعه ای از بیش از 43000 منبع ژرم پلاسم سویا دارد که تنوع ژنتیکی غنی برای پرورش سویا فراهم می کند. با این حال، تنوع ژنتیکی غنی، چالش های بزرگی را برای بهبود ژنتیکی سویا ایجاد می کند. این مطالعه در مورد مجموعه ژنوم de novo HJ117، یک رقم سویا با محتوای پروتئین بالا 52.99٪ گزارش می دهد. این داده‌ها منابع ارزشمندی برای تحقیقات بیشتر در بهبود کیفیت دانه سویا هستند و به روشن شدن مکانیسم‌های تنظیمی زیربنای محتوای پروتئین سویا کمک خواهند کرد.
توصیف داده ها: ما یک ژنوم مرجع پیوسته 1041.94 مگابایت برای HJ117 با استفاده از ترکیبی از خواندن کوتاه Illumina (23.38 گیگابیت) و خواندن طولانی PacBio (25.58 گیگابایت)، با پوشش توالی با کیفیت بالا تقریباً 22.44×5×22.44×، 2، ایجاد کردیم. HJ117 از طریق اصلاح متقاطع با استفاده از Jidou 12 به عنوان والد مکرر و Chamoshido به عنوان والد اهداکننده توسعه یافت. مونتاژ بیشتر توسط داده های 114.5 گیگابایتی Hi-C (109.9×) کمک می کند که منجر به N50 contig برابر با 19.32 مگابایت و داربست N50 با حجم 51.43 مگابایت می شود. قابل‌توجه، ارزیابی رویکرد نقشه‌برداری ژن یوکاریوتی هسته (CEGMA) و نتایج ارزیابی ارتولوگ‌های تک نسخه‌ای جهانی (BUSCO) نشان داد که بیشتر ژن‌های یوکاریوتی هسته (97.18٪) و ژن‌های موجود در مجموعه داده BUSCO (99.4٪) شناسایی شده‌اند و 96.44٪ توالی های ژنومی بر روی بیست شبه کروموزوم لنگر انداختند."
4,38438446,کلکالیزاسیون پاتوژن های میکروبی و پپتید β-آمیلوئید (Aβ) در مغز بیماران مبتلا به بیماری آلزایمر (AD) نشان می دهد که عفونت میکروبی ممکن است در AD پراکنده نقش داشته باشد. Aβ فعالیت ضد میکروبی را در برابر پاتوژن های متعدد نشان می دهد و از نقش بالقوه Aβ در پاسخ ایمنی ذاتی حمایت می کند. در حالی که آمیلوئید پستانداران با بیماری مرتبط است، بسیاری از باکتری ها فیبرهای آمیلوئیدی را برای تقویت بیوفیلم تشکیل می دهند که از سلول ها در برابر محیط اطراف محافظت می کند. در فرضیه AD میکروبی، Aβ در پاسخ به عفونت برای مبارزه با پاتوژن تجمع می یابد. ما فرض می کنیم که این امر از طریق الیگومرهای سمی Aβ رخ می دهد که حاوی ساختار ورقه α هستند و قبل از فیبریلیزاسیون شکل می گیرند. پپتیدهای ورقه α به طور خاص به ساختار ورقه α موجود در الیگومرهای پروتئین های آمیلوئیدوژنیک باکتریایی و پستانداران متصل می شوند تا سمیت را خنثی کرده و از تجمع جلوگیری کنند. در اینجا، ما اثر E. coli را بر Aβ، از جمله تنظیم، تجمع، و سمیت اندازه گیری می کنیم. علاوه بر این، ما اثر ساختار Aβ را بر فیبریل‌های آمیلوئید E. coli یا curli متشکل از پروتئین CsgA و تشکیل بیوفیلم تعیین کردیم. ما دریافتیم که تشکیل کورلی توسط E. coli باعث افزایش تولید الیگومر Aβ شد و الیگومرهای Aβ بیوژنز کورلی را مهار کرد و تراکم سلولی بیوفیلم را کاهش داد. علاوه بر این، مهار کورلی و بیوفیلم توسط الیگومرهای Aβ باعث افزایش حساسیت E. coli به جنتامایسین شد. الیگومرهای سمی Aβ و CsgA از طریق فعل و انفعالات ورقه α برهمکنش می کنند و سمیت آنها را خنثی می کنند. این نتایج نشان می‌دهد که قرار گرفتن در معرض الیگومرهای سمی تشکیل‌شده توسط پاتوژن‌های میکروبی باعث افزایش تنظیم و تجمع الیگومر Aβ برای مبارزه با عفونت از طریق فعل و انفعالات انتخابی بین الیگومرهای صفحه آلفا برای خنثی‌سازی سمیت هر دو گونه با مهار فیبریلیزاسیون بعدی می‌شود.
5,38437538,پتانسیل آنزیم های مهندسی شده در کاربردهای صنعتی اغلب توسط سطوح بیان، پایداری حرارتی و تنوع کاتالیزوری محدود می شود. طراحی آنزیم De novo به دلیل پیچیدگی کاتالیز آنزیمی با چالش هایی مواجه است. یک رویکرد جایگزین شامل گسترش قابلیت‌های آنزیمی طبیعی برای بسترها و پارامترهای جدید است. در اینجا، CoSaNN (نمونه‌گیری ترکیبی با استفاده از شبکه عصبی)، یک استراتژی طراحی آنزیمی با استفاده از یادگیری عمیق برای پیش‌بینی ساختار و بهینه‌سازی توالی را معرفی می‌کنیم. CoSaNN ترکیبات آنزیمی را برای گسترش فضای شیمیایی فراتر از جهش زایی ساده کنترل می کند. از یک رویکرد وابسته به زمینه برای تولید طرح‌های آنزیمی، با در نظر گرفتن روابط غیرخطی در فضای توالی و ساختار استفاده می‌کند. ما همچنین SolvIT را توسعه دادیم، یک نمودار NN که حلالیت پروتئین را در آن پیش‌بینی می‌کند
6,38431892,بسیاری از پروتئین ها در یک ساختار سه بعدی ثابت جمع نمی شوند، بلکه در حالت بسیار بی نظم عمل می کنند. این پروتئین‌های ذاتاً بی‌نظم چالشی منحصربه‌فرد برای مهندسی و طراحی پروتئین ایجاد می‌کنند: چگونه می‌توان پروتئین‌ها را به‌صورت نو طراحی کرد، اگر نه با طراحی ساختارشان؟ در اینجا، زمینه نوپای طراحی پروتئین‌های دارای اختلال ذاتی را با تمرکز بر کاربردها در بیوتکنولوژی و پزشکی مرور خواهیم کرد. اهداف طراحی لزوماً نباید مانند طراحی de novo پروتئین های تا شده باشد، زیرا پروتئین های بی نظم دارای نقاط قوت و محدودیت های عملکردی منحصر به فردی هستند. ما بر روی عملکردهایی تمرکز می‌کنیم که در آن پروتئین‌های ذاتاً بی‌نظم به طور منحصربه‌فردی مناسب هستند، از جمله پیوندهای نامنظم، چاپرون‌های خشک‌کننده، حسگرهای محیط شیمیایی، تحویل داروها، و ترکیبات میعانات بیومولکولی. طراحی پروتئین‌های دارای اختلال ذاتی عملکردی متکی بر ترکیبی از ابزارهای محاسباتی و اکتشافی است که از مطالعات توالی-تابعی به دست آمده است. موارد کمی وجود دارد که پروتئین های ذاتاً بی نظم آن را به کاربردهای صنعتی تبدیل کرده باشند. با این حال، ما استدلال می‌کنیم که پروتئین‌های بی‌نظم می‌توانند نقش‌های زیادی را انجام دهند که در حال حاضر توسط پلیمرهای آلی انجام می‌شود، و این پروتئین‌ها ممکن است به دلیل مدولار بودنشان قابل طراحی‌تر باشند.
7,38417762,ابریشم، به ویژه ابریشم عنکبوت و حشرات، یک ماده زیستی بسیار همه کاره با کاربردهای بالقوه در زیست پزشکی، علم مواد و مهندسی بیومیمتیک است. ساختار اولیه پروتئین های ابریشم اساس خواص مکانیکی الیاف ابریشم است. بیوتکنولوژی‌هایی مانند توالی‌یابی تک مولکولی تعداد فزاینده‌ای از گزارش‌ها در مورد ژن‌های جدید ابریشم و پروتئین‌های ابریشم مونتاژ شده را تسهیل کرده‌اند. بنابراین، این بررسی با هدف ارائه یک نمای کلی از پیشرفت‌های اخیر در پروتئین‌های ابریشم نماینده عنکبوت و حشرات، با تمرکز بر روش‌های شناسایی، ویژگی‌های توالی، و طراحی و مونتاژ de novo است. این بررسی سه روش شناسایی برای ژن‌های ابریشم را مورد بحث قرار می‌دهد: توالی‌یابی مبتنی بر واکنش زنجیره‌ای پلیمراز (PCR)، شبیه‌سازی و توالی‌یابی بدون PCR، و توالی‌یابی کل ژنوم. علاوه بر این، پروتئین های اصلی ابریشم عنکبوت و حشره و توالی آنها را نشان می دهد. مونتاژ نوین بعدی ابریشم مصنوعی پوشش داده شده است و جهت‌های تحقیقاتی آینده در زمینه پروتئین‌های ابریشم، از جمله ژن‌های جدید ابریشم، ابریشم مصنوعی قابل سفارشی‌سازی، و گسترش تولید و کاربردهای ابریشم مورد بحث قرار گرفته است. این بررسی مبنایی برای جنبه های ژنتیکی تولید ابریشم و کاربردهای بالقوه ابریشم مصنوعی در علم مواد و مهندسی زیست پزشکی فراهم می کند.
8,38405797,با بیش از 270 رخداد منحصر به فرد در ژنوم انسان، حوزه‌های PDZ شناسایی پپتید نقشی اساسی در تعدیل مسیرهای قطبی‌سازی، سیگنال‌دهی و قاچاق دارند. جهش در حوزه های PDZ منجر به بیماری هایی مانند سرطان و فیبروز کیستیک می شود و دامنه های PDZ را به اهدافی جذاب برای مداخله درمانی تبدیل می کند. مهارکننده های پپتید D مزایای منحصر به فردی را به عنوان درمان ارائه می دهند، از جمله افزایش پایداری متابولیک و ایمنی زایی کم. در اینجا، DexDesign را معرفی می کنیم، یک الگوریتم جدید مبتنی بر OSPREY برای طراحی محاسباتی
9,38392046,کارسینوم یوروتلیال پیشرفته یا متاستاتیک محلی (aUC) یک چالش مهم با نرخ مرگ و میر بالا است. شیمی درمانی مبتنی بر پلاتین به عنوان استاندارد خط مقدم مراقبت باقی می ماند، و یک استراتژی تعویض تعویض با ایمونوتراپی اکنون به عنوان یک استاندارد جدید برای بیماران aUC بدون پیشرفت بیماری، پس از درمان اولیه پلاتین ظاهر شده است. با توجه به چشم انداز درمانی در حال تحول، بررسی الگوهای درمانی ضروری است. در این مطالعه، ما یک مرور نمودار پزشکی گذشته‌نگر از 17 انکولوژیست کانادایی که بیماران مبتلا به aUC را درمان می‌کنند، برای ارزیابی نیازهای برآورده نشده در مراقبت از بیمار aUC کانادا انجام دادیم. داده های 146 نمودار بیمار مورد تجزیه و تحلیل قرار گرفت و بینش های بالینی مهمی را در مورد مدیریت AUC نشان داد. بخش قابل توجهی از بیماران (53٪) با بیماری متاستاتیک de novo مراجعه کردند، که احتمالاً تحت تأثیر اختلالات مراقبتی مرتبط با بیماری همه گیر بود. تنوع در معیارهای واجد شرایط بودن سیس پلاتین مشهود بود، با اکثریت (70٪) انکولوژیست ها از آستانه 50 میلی لیتر در دقیقه استفاده می کردند. اکثر افراد چهار چرخه شیمی درمانی مبتنی بر پلاتین را برای حفظ مغز استخوان برای درمان های آینده و جلوگیری از خستگی بیمار ترجیح می دهند. قابل ذکر است، برخی از بیماران واجد شرایط به جای دریافت درمان نگهدارنده تحت نظر قرار گرفتند، که نشان دهنده شکاف احتمالی در آگاهی در مورد توصیه های مبتنی بر شواهد است. علاوه بر این، مدیریت عوارض جانبی مرتبط با درمان یکی از بزرگترین چالش‌ها در رابطه با ایمونوتراپی نگهدارنده است. در نتیجه، یافته‌های ما اولین نمای کلی از الگوهای درمان aUC در کانادا را پس از تایید ایمونوتراپی نگهدارنده، ارائه بینش‌هایی در مورد فرآیند تصمیم‌گیری و تاکید بر اهمیت دستورالعمل‌های مبتنی بر شواهد در مدیریت بیمار aUC ارائه می‌کند.
