,pmid,Abstract
0,38452919,"RATIONALE & OBJECTIVE: Glomerular disorders have a highly variable clinical course and biomarkers that reflect molecular mechanisms underlying progression are needed. Based on our previous work identifying plasminogen as a direct cause of podocyte injury, we designed this study to test the association between urine plasmin(ogen) (i.e., plasmin and its precursor plasminogen) and end-stage kidney disease (ESKD).
STUDY DESIGN: Multicenter cohort study.
SETTING & PARTICIPANTS: 1010 patients enrolled in the CureGN Cohort with biopsy-proven glomerular disease (focal segmental glomerulosclerosis, membranous nephropathy, and immunoglobulin A nephropathy).
PREDICTORS: The main predictor was urine plasmin(ogen) at baseline. Levels were measured by an electro-chemiluminescent immunoassay developed de novo. Traditional clinical and analytical characteristics were used for adjustment. The ratio of urine plasmin(ogen)/ expected plasmin(ogen) was evaluated as a predictor in a separate model.
OUTCOMES: Progression to ESKD.
ANALYTICAL APPROACH: Cox regression was used to examine the association between urinary plasmin(ogen) and time to ESKD. Urinary markers were Log
RESULTS: Adjusted Log
LIMITATIONS: Single plasmin(ogen) determination does not allow for the study of changes over time. The use of a cohort of mostly white patients and the restriction to patients with 3 glomerular disorders limits the external validity of our analysis.
CONCLUSIONS: Urinary plasmin(ogen) and the ratio of measured/expected plasmin(ogen) are independently associated with ESKD in a cohort of patients with glomerular disease. Taken together with our previous experimental findings, urinary plasmin(ogen) could be a useful biomarker in prognostic decision making and a target for the development of novel therapies in patients with proteinuria and glomerular disease."
1,38448735,"Synthetic signaling receptors enable programmable cellular responses coupling with customized inputs. However, engineering a designer force-sensing receptor to rewire mechanotransduction remains largely unexplored. Herein, we introduce nongenetically engineered artificial mechanoreceptors (AMRs) capable of reprogramming non-mechanoresponsive receptor tyrosine kinases (RTKs) to sense user-defined force cues, enabling de novo-designed mechanotransduction. AMR is a modular DNA-protein chimera comprising a mechanosensing-and-transmitting DNA nanodevice grafted on natural RTKs via aptameric anchors. AMR senses intercellular tensile force via an allosteric DNA mechano-switch with tunable piconewton-sensitive force tolerance, actuating a force-triggered dynamic DNA assembly to manipulate RTK dimerization and activate intracellular signaling. By swapping the force-reception ligands, we demonstrate the AMR-mediated activation of c-Met, a representative RTK, in response to the cellular tensile forces mediated by cell-adhesion proteins (integrin, E-cadherin) or membrane protein endocytosis (CI-M6PR). Moreover, AMR also allows the reprogramming of FGFR1, another RTK, to customize mechanobiological function, for example, adhesion-mediated neural stem cell maintenance."
2,38442440,"Application of Artificial intelligence (AI) in drug discovery has led to several success stories in recent times. While traditional methods mostly relied upon screening large chemical libraries for early-stage drug-design, de novo design can help identify novel target-specific molecules by sampling from a much larger chemical space. Although this has increased the possibility of finding diverse and novel molecules from previously unexplored chemical space, this has also posed a great challenge for medicinal chemists to synthesize at least some of the de novo designed novel molecules for experimental validation. To address this challenge, in this work, we propose a novel forward synthesis-based generative AI method, which is used to explore the synthesizable chemical space. The method uses a structure-based drug design framework, where the target protein structure and a target-specific seed fragment from co-crystal structures can be the initial inputs. A random fragment from a purchasable fragment library can also be the input if a target-specific fragment is unavailable. Then a template-based forward synthesis route prediction and molecule generation is performed in parallel using the Monte Carlo Tree Search (MCTS) method where, the subsequent fragments for molecule growth can again be obtained from a purchasable fragment library. The rewards for each iteration of MCTS are computed using a drug-target affinity (DTA) model based on the docking pose of the generated reaction intermediates at the binding site of the target protein of interest. With the help of the proposed method, it is now possible to overcome one of the major obstacles posed to the AI-based drug design approaches through the ability of the method to design novel target-specific synthesizable molecules."
3,38438864,"OBJECTIVES: Soybean is an important feed and oil crop in the world due to its high protein and oil content. China has a collection of more than 43,000 soybean germplasm resources, which provides a rich genetic diversity for soybean breeding. However, the rich genetic diversity poses great challenges to the genetic improvement of soybean. This study reports on the de novo genome assembly of HJ117, a soybean variety with high protein content of 52.99%. These data will prove to be valuable resources for further soybean quality improvement research, and will aid in the elucidation of regulatory mechanisms underlying soybean protein content.
DATA DESCRIPTION: We generated a contiguous reference genome of 1041.94 Mb for HJ117 using a combination of Illumina short reads (23.38 Gb) and PacBio long reads (25.58 Gb), with high-quality sequence coverage of approximately 22.44× and 24.55×, respectively. HJ117 was developed through backcross breeding, using Jidou 12 as the recurrent parent and Chamoshidou as the donor parent. The assembly was further assisted by 114.5 Gb Hi-C data (109.9×), resulting in a contig N50 of 19.32 Mb and scaffold N50 of 51.43 Mb. Notably, Core Eukaryotic Genes Mapping Approach (CEGMA) assessment and Benchmarking Universal Single-Copy Orthologs (BUSCO) assessment results indicated that most core eukaryotic genes (97.18%) and genes in the BUSCO dataset (99.4%) were identified, and 96.44% of the genomic sequences were anchored onto twenty pseudochromosomes."
4,38438446,"Colocalization of microbial pathogens and the β-amyloid peptide (Aβ) in the brain of Alzheimer's disease (AD) patients suggests that microbial infection may play a role in sporadic AD. Aβ exhibits antimicrobial activity against numerous pathogens, supporting a potential role for Aβ in the innate immune response. While mammalian amyloid is associated with disease, many bacteria form amyloid fibrils to fortify the biofilm that protects the cells from the surrounding environment. In the microbial AD hypothesis, Aβ aggregates in response to infection to combat the pathogen. We hypothesize that this occurs through toxic Aβ oligomers that contain α-sheet structure and form prior to fibrillization. De novo designed α-sheet peptides specifically bind to the α-sheet structure present in the oligomers of both bacterial and mammalian amyloidogenic proteins to neutralize toxicity and inhibit aggregation. Here, we measure the effect of E. coli on Aβ, including upregulation, aggregation, and toxicity. Additionally, we determined the effect of Aβ structure on E. coli amyloid fibrils, or curli comprised of the CsgA protein, and biofilm formation. We found that curli formation by E. coli increased Aβ oligomer production, and Aβ oligomers inhibited curli biogenesis and reduced biofilm cell density. Further, curli and biofilm inhibition by Aβ oligomers increased E. coli susceptibility to gentamicin. Toxic oligomers of Aβ and CsgA interact via α-sheet interactions, neutralizing their toxicity. These results suggest that exposure to toxic oligomers formed by microbial pathogens triggers Aβ oligomer upregulation and aggregation to combat infection via selective interactions between α-sheet oligomers to neutralize toxicity of both species with subsequent inhibition of fibrillization."
5,38437538,"The potential of engineered enzymes in industrial applications is often limited by their expression levels, thermal stability, and catalytic diversity. De novo enzyme design faces challenges due to the complexity of enzymatic catalysis. An alternative approach involves expanding natural enzyme capabilities for new substrates and parameters. Here, we introduce CoSaNN (Conformation Sampling using Neural Network), an enzyme design strategy using deep learning for structure prediction and sequence optimization. CoSaNN controls enzyme conformations to expand chemical space beyond simple mutagenesis. It employs a context-dependent approach for generating enzyme designs, considering non-linear relationships in sequence and structure space. We also developed SolvIT, a graph NN predicting protein solubility in "
6,38431892,"Many proteins do not fold into a fixed three-dimensional structure, but rather function in a highly disordered state. These intrinsically disordered proteins pose a unique challenge to protein engineering and design: How can proteins be designed de novo if not by tailoring their structure? Here, we will review the nascent field of design of intrinsically disordered proteins with focus on applications in biotechnology and medicine. The design goals should not necessarily be the same as for de novo design of folded proteins as disordered proteins have unique functional strengths and limitations. We focus on functions where intrinsically disordered proteins are uniquely suited including disordered linkers, desiccation chaperones, sensors of the chemical environment, delivery of pharmaceuticals, and constituents of biomolecular condensates. Design of functional intrinsically disordered proteins relies on a combination of computational tools and heuristics gleaned from sequence-function studies. There are few cases where intrinsically disordered proteins have made it into industrial applications. However, we argue that disordered proteins can perform many roles currently performed by organic polymers, and that these proteins might be more designable due to their modularity."
7,38417762,"Silk, especially spider and insect silk, is a highly versatile biomaterial with potential applications in biomedicine, materials science, and biomimetic engineering. The primary structure of silk proteins is the basis for the mechanical properties of silk fibers. Biotechnologies such as single-molecule sequencing have facilitated an increasing number of reports on new silk genes and assembled silk proteins. Therefore, this review aims to provide a comprehensive overview of the recent advances in representative spider and insect silk proteins, focusing on identification methods, sequence characteristics, and de novo design and assembly. The review discusses three identification methods for silk genes: polymerase chain reaction (PCR)-based sequencing, PCR-free cloning and sequencing, and whole-genome sequencing. Moreover, it reveals the main spider and insect silk proteins and their sequences. Subsequent de novo assembly of artificial silk is covered and future research directions in the field of silk proteins, including new silk genes, customizable artificial silk, and the expansion of silk production and applications are discussed. This review provides a basis for the genetic aspects of silk production and the potential applications of artificial silk in material science and biomedical engineering."
8,38405797,"With over 270 unique occurrences in the human genome, peptide-recognizing PDZ domains play a central role in modulating polarization, signaling, and trafficking pathways. Mutations in PDZ domains lead to diseases such as cancer and cystic fibrosis, making PDZ domains attractive targets for therapeutic intervention. D-peptide inhibitors offer unique advantages as therapeutics, including increased metabolic stability and low immunogenicity. Here, we introduce DexDesign, a novel OSPREY-based algorithm for computationally designing "
9,38392046,"Locally advanced or metastatic urothelial carcinoma (aUC) presents a significant challenge with high mortality rates. Platinum-based chemotherapy remains the established frontline standard of care, and a switch-maintenance strategy with immunotherapy has now emerged as a new standard for aUC patients without disease progression, following initial platinum therapy. Examining the treatment patterns is imperative, given the evolving therapeutic landscape. In this study, we conducted a retrospective medical chart review of 17 Canadian oncologists treating patients with aUC to assess unmet needs in Canadian aUC patient care. Data from 146 patient charts were analyzed, revealing important clinical insights about the management of aUC. A substantial proportion of patients (53%) presented with de novo metastatic disease, which was possibly influenced by pandemic-related care disruptions. Variability was evident in the cisplatin eligibility criteria, with a majority (70%) of oncologists utilizing a 50 mL/min threshold. Most favored four cycles of platinum-based chemotherapy to spare the bone marrow for future therapies and prevent patient fatigue. Notably, some eligible patients were kept under surveillance rather than receiving maintenance therapy, suggesting a potential gap in awareness regarding evidence-based recommendations. Furthermore, managing treatment-related adverse events was found to be one of the biggest challenges in relation to maintenance immunotherapy. In conclusion, our findings provide the first comprehensive overview of aUC treatment patterns in Canada following the approval of maintenance immunotherapy, offering insights into the decision-making process and underscoring the importance of evidence-based guidelines in aUC patient management."
0,38455212,"The efficacy of administering high doses of vitamin D to patients diagnosed with COVID-19 remains uncertain. We conducted a comprehensive search across multiple databases (PubMed, EMBASE, Cochrane Library, and ISI Web of Science) from inception until August 2022, with no limitations on language, to locate randomized controlled trials (RCTs) that investigated the impact of high-dose vitamin D supplementation (defined as a single dose of ≥100,000 IU or daily dose of ≥10,000 IU reaching a total dose of ≥100,000 IU) on COVID-19 patients. Risk ratios (RR) with 95% confidence intervals (CI) and weighted mean differences (WMD) with 95% CI were calculated. Our meta-analysis included 5 RCTs with a total of 834 patients. High-dose vitamin D supplementation did not show any significant benefits for mortality ("
1,38451442,"Several nutrients are crucial in enhancing the immune system and preserving the structural integrity of bodily tissue barriers. Vitamin D (VD) and zinc (Zn) have received considerable interest due to their immunomodulatory properties and ability to enhance the body's immune defenses. Due to their antiviral, anti-inflammatory, antioxidative, and immunomodulatory properties, the two nutritional powerhouses VD and Zn are crucial for innate and adaptive immunity. As observed with COVID-19, deficiencies in these micronutrients impair immune responses, increasing susceptibility to viral infections and severe disease. Ensuring an adequate intake of VD and Zn emerges as a promising strategy for fortifying the immune system. Ongoing clinical trials are actively investigating their potential therapeutic advantages. Beyond the immediate context of the pandemic, these micronutrients offer valuable tools for enhancing immunity and overall well-being, especially in the face of future viral threats. This analysis emphasizes the enduring significance of VD and Zn as both treatment and preventive measures against potential viral challenges beyond the current health crisis. The overview delves into the immunomodulatory potential of VD and Zn in combating viral infections, with particular attention to their effects on animals. It provides a comprehensive summary of current research findings regarding their individual and synergistic impacts on immune function, underlining their potential in treating and preventing viral infections. Overall, this overview underscores the need for further research to understand how VD and Zn can modulate the immune response in combatting viral diseases in animals."
2,38450231,
3,38434628,
4,38431492,
5,38400105,"BACKGROUND: Structural and functional commonalities between poliovirus and severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) suggest that poliovirus inoculation may induce antibodies that mitigate the coronavirus disease (COVID-19). No known studies have evaluated COVID-19 risk factors in adults recently vaccinated against poliovirus.
STUDY OBJECTIVE: Among adults with no history of COVID-19 infection or vaccination, who recently received an inactivated poliovirus vaccine (IPV), we sought to determine which biological factors and social determinants of health (SDOH) may be associated with (1) testing positive for SARS-CoV-2, (2) experiencing COVID-19 symptoms, and (3) a longer duration of COVID-19 symptoms.
METHODS: The influence of biological factors and SDOH on SARS-CoV-2 infection and COVID-19 symptoms were evaluated among 282 adults recently inoculated with IPV. Participant-reported surveys were analyzed over 12 months post-enrollment. Bivariate and multivariate linear and logistic regression models identified associations between variables and COVID-19 outcomes.
RESULTS: Adjusting for COVID-19 vaccinations, variants, and other SDOH, secondary analyses revealed that underlying conditions, employment, vitamin D, education, and the oral poliovirus vaccination (OPV) were associated with COVID-19 outcomes. The odds of testing positive for SARS-CoV-2 and experiencing symptoms were significantly reduced among participants who took vitamin D (OR 0.12 and OR 0.09, respectively). Unemployed or part-time working participants were 72% less likely to test positive compared with full-time workers. No prior dose of OPV was one of the strongest predictors of SARS-CoV-2 infection (OR 4.36) and COVID-19 symptoms (OR 6.95).
CONCLUSIONS: Findings suggest that prophylactic measures and mucosal immunity may mitigate the risk and severity of COVID-19 outcomes. Larger-scale studies may inform future policies."
6,38399417,"The progression of SARS-CoV-2 infection has been linked to a hospitalization rate of 20%. The susceptibility of SARS-CoV-2 infection increases with age, resulting in severe and atypical clinical forms of the disease. The severity of SARS-CoV-2 infection in the elderly population can be attributed to several factors, including the overexpression of angiotensin-converting enzyme 2 (ACE2) receptors, immunosenescence, and alterations in the intestinal microbiota that facilitate the cytokine storm. In light of these observations, we conducted a retrospective analysis based on prospectively collected data between 23 December 2021 and 30 April 2022 (the fourth wave of SARS-CoV-2 infection). We analyzed patients aged over 60 years who were hospitalized in a county hospital in Romania. The primary objective of our study was to assess the risk factors for an unfavorable outcome, while the secondary objective was to assess the clinical and baseline characteristics of the enrolled patients. We included 287 cases with a complete electronic medical record from this available cohort of patients. We aimed to retrospectively evaluate a group of 127 patients that progressed, unfortunately, toward an unfavorable outcome versus 160 patients with a favorable outcome. We used the Combined Ordinal Scale of Severity that combines the WHO ordinal scale and the degrees of inflammation to assess the severity of the patients at the time of the initial assessment. The age group between 70 and 79 years had the highest percentage, accounting for 48.0%-61 patients, of the deceased patients. We noted statistically significant differences between groups related to other cardiovascular diseases, nutritional status, hematological diseases, other neurological/mental or digestive disorders, and other comorbidities. Regarding the nutritional status of the patients, there was a statistically significant unfavorable outcome for all the age groups and the patients with a BMI > 30 kg/m"
7,38398782,"Vitamin D, a steroid hormone synthesized primarily in the skin upon exposure to ultraviolet light, is widely deficient across global populations. This study aimed to fill the data gap in Western Romania by measuring 25-hydroxy-vitamin D levels in a cohort of 7141 from Arad County. It was observed that women, younger adults (18-29 years), and older adults (70-79 years) had notably lower vitamin D levels compared to the average population. Additionally, there was a rise in vitamin D levels over the four-year span of 2018-2022, coinciding with the COVID-19 pandemic. Our research provides fresh data on those most susceptible to vitamin D deficiency and lays the groundwork for educational campaigns on vitamin D supplementation benefits."
8,38398719,"The SARS-CoV-2 virus may cause severe infection, which is associated with diverse clinical manifestations. Vitamin D has immunomodulating properties and may enhance the body's defense system against invading pathogenic organisms. The aim was to assess 25(OH)D"
